latitude,longitude,time
-36.2681,146.9377,396.0
-36.3491,146.9377,363.0
-36.412,146.9377,316.0
-36.4793,146.9377,287.0
-36.5688,146.9377,404.0
-37.0355,146.9377,1217.0
-37.137,146.9377,116.0
-37.7531,146.9377,148.0
-36.2275,146.9432,418.0
-36.2455,146.9432,402.0
-36.2861,146.9432,426.0
-36.4479,146.9432,264.0
-36.7339,146.9432,256.0
-36.7695,146.9432,175.0
-37.0708,146.9432,300.0
-37.181,146.9432,308.0
-36.4658,146.9487,340.0
-36.5196,146.9487,368.0
-36.885,146.9487,145.0
-36.9116,146.9487,366.0
-37.1546,146.9487,291.0
-37.2338,146.9487,235.0
-37.7054,146.9487,1298.0
-36.618,146.9542,1123.0
-36.7161,146.9542,374.0
-36.8983,146.9542,366.0
-36.9692,146.9542,138.0
-37.0532,146.9542,312.0
-36.2049,146.9598,419.0
-36.2365,146.9598,439.0
-36.2861,146.9598,401.0
-36.3895,146.9598,394.0
-36.421,146.9598,365.0
-36.5286,146.9598,362.0
-36.6269,146.9598,440.0
-36.6582,146.9598,376.0
-36.9559,146.9598,330.0
-36.9957,146.9598,299.0
-37.6316,146.9598,1347.0
-36.2726,146.9653,428.0
-36.7562,146.9653,314.0
-37.1678,146.9653,275.0
-37.7314,146.9653,1371.0
-36.25,146.9708,301.0
-36.5375,146.9708,348.0
-36.676,146.9708,1093.0
-36.8673,146.9708,293.0
-37.1942,146.9708,249.0
-37.6967,146.9708,209.0
-36.618,146.9763,243.0
-36.6582,146.9763,191.0
-36.9028,146.9763,281.0
-36.9692,146.9763,326.0
-37.181,146.9763,324.0
-36.1507,146.9818,407.0
-36.3581,146.9818,275.0
-36.5107,146.9818,353.0
-37.0664,146.9818,1259.0
-37.1282,146.9818,309.0
-36.0919,146.9873,407.0
-37.0178,146.9873,91.0
-37.0841,146.9873,313.0
-37.396,146.9873,1359.0
-36.9648,146.9928,113.0
-37.009,146.9928,296.0
-37.6446,146.9928,213.0
-36.11,146.9984,396.0
-36.2906,146.9984,425.0
-36.4883,146.9984,312.0
-36.854,146.9984,302.0
-37.0355,146.9984,296.0
-37.062,146.9984,89.0
-36.3806,147.0039,397.0
-37.1194,147.0039,306.0
-37.1722,147.0039,275.0
-37.7401,147.0039,176.0
-36.1236,147.0094,408.0
-36.5644,147.0094,305.0
-36.9825,147.0094,300.0
-36.0783,147.0149,1366.0
-36.0919,147.0149,436.0
-36.2906,147.0149,369.0
-36.8007,147.0149,380.0
-36.854,147.0149,363.0
-36.9293,147.0149,344.0
-37.0002,147.0149,304.0
-37.0311,147.0149,256.0
-37.2777,147.0149,1350.0
-37.3216,147.0149,1327.0
-36.1823,147.0204,1131.0
-36.2139,147.0204,420.0
-36.3446,147.0204,397.0
-36.43,147.0204,378.0
-36.6135,147.0204,408.0
-37.009,147.0204,1308.0
-36.7295,147.0259,284.0
-36.814,147.0259,332.0
-37.0267,147.0259,81.0
-37.7358,147.0259,166.0
-36.0874,147.0314,438.0
-36.101,147.0314,403.0
-36.1959,147.0314,370.0
-36.9957,147.0314,151.0
-37.137,147.0314,285.0
-37.431,147.0314,1332.0
-36.5912,147.037,102.0
-36.9161,147.037,312.0
-37.0885,147.037,293.0
-37.6011,147.037,161.0
-36.1236,147.0425,439.0
-36.8318,147.0425,195.0
-37.1942,147.0425,1256.0
-36.1552,147.048,411.0
-36.0557,147.0535,422.0
-36.0738,147.0535,432.0
-36.1326,147.0535,443.0
-36.1959,147.0535,422.0
-36.854,147.0535,312.0
-36.9559,147.0535,56.0
-37.6403,147.0535,104.0
-36.0466,147.059,509.0
-36.1823,147.059,393.0
-36.814,147.059,136.0
-37.3347,147.059,1357.0
-36.0239,147.0645,1200.0
-36.2049,147.0645,406.0
-36.223,147.0645,395.0
-36.5688,147.0645,377.0
-36.6046,147.0645,113.0
-37.0708,147.0645,1312.0
-37.5794,147.0645,205.0
-37.7705,147.0645,99.0
-37.7921,147.0645,136.0
-36.259,147.07,355.0
-36.3581,147.07,377.0
